x1;x2;x3;x4;x5;x6;x7;x8;x9;y
0;2,21;300;32,5;17,07;63;13,5;8,8;22,3;19,44
180;2,21;240;39;17,8;70;10,5;8;18,5;15,87
310;2,21;360;53;19,47;78;10;6,5;16,5;13,61
390;2,21;240;56;21,88;76;12,5;19;31,5;25,22
210;2,21;360;60,5;24,23;86;21,5;25,4;46,9;33,32
160;2,2;360;42,8;18,77;51;6,3;7,8;14,1;11,25
270;2,19;180;34;15,52;65;9,3;4,8;14,1;14,25
170;2,14;120;25;16;61,5;14,8;8,4;23,2;22,86
205;2,14;240;45,2;21,8;82;17,3;17,7;35;29,85
210;2,14;240;47,1;19,86;74;19,3;15;34,3;28,79
440;2,14;60;35,1;17,41;65;8,9;5,3;14,2;11,75
780;2,14;120;27,9;15,77;58;7,4;6,4;13,8;13,34
170;2,14;60;27,8;16,2;57;8,6;4,5;13,1;10,63
282;2,14;230;36,9;17,55;69;10;10,2;20,2;19,37
285;2,14;120;47,1;18,63;69,5;9,3;5,7;15;11,85
450;2,14;120;45;17,58;73,5;10,2;11,6;21,8;18,73
120;2,14;180;31;17,26;62,5;8,2;5,5;13,7;12,54
0;2,14;300;35;17,12;65;12;5,8;17,8;15,53
150;2,14;300;33,6;19,58;70;13,8;12,1;25,9;23,22
360;2,14;420;33,7;16,48;70;10,8;12,3;23,1;22,78
175;2,14;120;35,5;15,78;63;7,5;6,5;14;14,15
360;2,14;120;30;16,96;63;12,8;8,3;21,1;20,44
135;2,14;420;26;15,15;66,5;11,5;7;18,5;18,87
0;2,14;300;48;19,98;74;13,8;14;27,8;24,66
325;2,14;180;74,5;30,22;96;23,9;30;53,9;34,3
140;2,14;420;38,7;17,67;67,5;10,8;8,5;19,3;16,59
340;2,14;240;40,5;17,3;69;8,5;5,5;14;11,85
0;2,14;180;26;14,48;62;5,8;9,5;15,3;14,15
455;2,14;240;58,3;21,16;75,5;6,5;8,2;14,7;11,85
215;2,14;420;44,8;19,65;72;10,8;9,3;20,1;19,29
390;2,14;300;50;19,05;76;17,3;8,5;25,8;21,84
